Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,preprocessed_text
7199.0,4.0,0.9663000106811523,"border, democrats, want, people, deal, president, many, u.s., must, china","['florida', 'governor', 'ron', 'desantis', 'signed', 'bill', 'banning', 'sanctuary', 'cities', 'state', 'forcing', 'law', 'enforcement', 'agencies', 'cooperate', 'federal', 'immigration', 'authorities', 'bill', 'prohibits', 'local', 'gov', 'enacting', 'sanctuary', 'policies', 'protect', 'undocumented', 'immigrants']",florida governor ron desantis just signed bill banning sanctuary cities in state & forcing all law enforcement agencies to cooperate with federal immigration authorities . bill prohibits local gov ' t from enacting sanctuary policies that protect undocumented immigrants ... twitmentionfoxnews
8310.0,4.0,0.9663000106811523,"border, democrats, want, people, deal, president, many, u.s., must, china","['.average', 'hourly', 'wages', 'growth', 'far', 'outpaced', 'saw', 'president', 'obama', 'across', 'industries', 'mining', 'construction', 'leisure', 'hospitality', 'president', 'trump', 'see', 'income', 'growth', 'states', 'like', 'iowa', 'ohio', 'pennsylvania', 'wisconsin', 'nevada', 'florida']",... .average hourly wages growth has far outpaced what we saw with president obama . across all industries from mining and construction to leisure & hospitality with president trump we see income growth in states like iowa ohio pennsylvania wisconsin nevada florida ... ...
,,,,,
6150.0,5.0,0.9695000052452087,"today, president, many, people, country, get, good, deal, new, never","['democrat', 'uaw', 'local', 'president', 'david', 'green', 'ought', 'get', 'act', 'together', 'produce', 'g.m', 'let', 'country', 'much', 'better', 'car', 'companies', 'coming', 'u.s.', 'droves', 'want', 'action', 'lordstown', 'fast', 'stop', 'complaining', 'get', 'job', 'done', 'unemployment']",democrat uaw local 1112 president david green ought to get his act together and produce . g.m . let our country down but other much better car companies are coming into the u.s. in droves . i want action on lordstown fast . stop complaining and get the job done ! 3.8 % unemployment !
7697.0,5.0,0.9695000052452087,"today, president, many, people, country, get, good, deal, new, never","['robert', 'mueller', 'band', 'angry', 'democrats', 'spend', 'time', 'investigating', 'crooked', 'hillary', 'clinton', 'lyin', 'leakin', 'james', 'comey', 'lisa', 'page', 'psycho', 'lover', 'peter', 'andy', 'mccabe', 'beautiful', 'ohr', 'family', 'fusion', 'gps', 'many', 'including', 'andrew', 'w']",why didn ' t robert mueller & his band of 18 angry democrats spend any time investigating crooked hillary clinton lyin ' & leakin ' james comey lisa page and her psycho lover peter s andy mccabe the beautiful ohr family fusion gps and many more including himself & andrew w ?
8926.0,5.0,0.968500018119812,"today, president, many, people, country, get, good, deal, new, never","['good', 'job', 'must', 'say', 'bob', 'woodward', 'deface', 'nation.', 'cbs', 'name', 'host', 'ess', 'guest', 'peter', 'baker', 'failing', 'new', 'york', 'times', 'totally', 'biased', 'boring', 'wrong', 'usual', 'woodward', 'cool', 'calm', 'interesting', 'thank', 'bob']","good job i must say by bob woodward on "" deface the nation. "" the cbs no name host ( ess ) and other guest peter baker of the failing new york times were totally biased boring and wrong ( as usual ) but woodward was cool calm and interesting . thank you bob !"
4076.0,5.0,0.9674000144004822,"today, president, many, people, country, get, good, deal, new, never","['fbi', 'giving', 'andrew', 'mccabe', 'text', 'massages', 'judicial', 'watch', 'appropriate', 'governmental', 'authorities', 'fbi', 'said', 'give', 'even', 'one', 'may', 'get', 'involved', 'destroy', 'hiding', 'mccabe', 'wife', 'took', 'big', 'campaign', 'dollars', 'hillary', 'people']",why isn ' t the fbi giving andrew mccabe text massages to judicial watch or appropriate governmental authorities . fbi said they won ' t give up even one ( i may have to get involved do not destroy ) . what are they hiding ? mccabe wife took big campaign dollars from hillary people ... ...
2877.0,5.0,0.9674000144004822,"today, president, many, people, country, get, good, deal, new, never","['failing', 'new', 'york', 'times', 'purposely', 'wrote', 'false', 'story', 'stating', 'unhappy', 'legal', 'team', 'russia', 'case', 'going', 'add', 'another', 'lawyer', 'help', 'wrong', 'happy', 'lawyers', 'john', 'dowd', 'ty', 'cobb', 'jay', 'sekulow', 'job']",the failing new york times purposely wrote a false story stating that i am unhappy with my legal team on the russia case and am going to add another lawyer to help out . wrong . i am very happy with my lawyers john dowd ty cobb and jay sekulow . they are doing a great job and ... ..
,,,,,
5342.0,6.0,0.968500018119812,"deal, u.s., china, tariffs, mexico, border, news, big, country, economy","['real', 'scandal', 'one', 'sided', 'coverage', 'hour', 'hour', 'networks', 'like', 'nbc', 'democrat', 'spin', 'machines', 'like', 'saturday', 'night', 'live', 'nothing', 'less', 'unfair', 'news', 'coverage', 'dem', 'commercials', 'tested', 'courts', 'legal', 'defame', 'belittle', 'collusion']",a real scandal is the one sided coverage hour by hour of networks like nbc & democrat spin machines like saturday night live . it is all nothing less than unfair news coverage and dem commercials . should be tested in courts can ' t be legal ? only defame & belittle ! collusion ?
